movieId,title,genres,prom_visualizacion,%_view_movie,sum_likes,sum_dislikes
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,7,21,61,1
2,Jumanji (1995),Adventure|Children|Fantasy,8,34,122,17
3,Grumpier Old Men (1995),Comedy|Romance,10,13,252,24
4,Waiting to Exhale (1995),Comedy|Drama|Romance,8,12,187,18
5,Father of the Bride Part II (1995),Comedy,5,36,162,7
6,Heat (1995),Action|Crime|Thriller,9,14,196,11
7,Sabrina (1995),Comedy|Romance,5,32,129,15
8,Tom and Huck (1995),Adventure|Children,7,27,160,10
9,Sudden Death (1995),Action,8,34,69,17
10,GoldenEye (1995),Action|Adventure|Thriller,11,31,276,28
11,"American President, The (1995)",Comedy|Drama|Romance,11,33,332,35
12,Dracula: Dead and Loving It (1995),Comedy|Horror,8,32,156,14
13,Balto (1995),Adventure|Animation|Children,11,35,257,22
14,Nixon (1995),Drama,6,35,165,6
15,Cutthroat Island (1995),Action|Adventure|Romance,10,30,299,31
16,Casino (1995),Crime|Drama,11,39,307,25
17,Sense and Sensibility (1995),Drama|Romance,6,21,98,9
18,Four Rooms (1995),Comedy,7,33,167,18
19,Ace Ventura: When Nature Calls (1995),Comedy,5,40,166,1
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,9,27,1,13
21,Get Shorty (1995),Comedy|Crime|Thriller,11,28,284,34
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,5,12,25,5
23,Assassins (1995),Action|Crime|Thriller,10,10,218,22
24,Powder (1995),Drama|Sci-Fi,5,46,78,17
25,Leaving Las Vegas (1995),Drama|Romance,6,49,45,19
26,Othello (1995),Drama,12,19,364,22
27,Now and Then (1995),Children|Drama,6,34,126,1
28,Persuasion (1995),Drama|Romance,11,45,320,33
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,5,15,115,13
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,9,29,124,19
31,Dangerous Minds (1995),Drama,10,40,203,26
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,8,48,157,6
33,Wings of Courage (1995),Adventure|Romance|IMAX,5,23,133,8
34,Babe (1995),Children|Drama,10,34,342,24
35,Carrington (1995),Drama|Romance,8,42,116,8
36,Dead Man Walking (1995),Crime|Drama,10,12,352,39
37,Across the Sea of Time (1995),Documentary|IMAX,10,27,220,23
38,It Takes Two (1995),Children|Comedy,12,24,320,23
39,Clueless (1995),Comedy|Romance,5,36,194,3
40,"Cry, the Beloved Country (1995)",Drama,11,36,212,38
41,Richard III (1995),Drama|War,5,16,152,2
42,Dead Presidents (1995),Action|Crime|Drama,8,16,114,10
43,Restoration (1995),Drama,5,21,120,5
44,Mortal Kombat (1995),Action|Adventure|Fantasy,6,50,170,0
45,To Die For (1995),Comedy|Drama|Thriller,11,50,306,33
46,How to Make an American Quilt (1995),Drama|Romance,7,37,80,0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,9,44,162,8
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,7,48,92,17
49,When Night Is Falling (1995),Drama|Romance,7,44,157,13
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,10,34,241,27
51,Guardian Angel (1994),Action|Drama|Thriller,6,26,148,4
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,7,17,140,9
53,Lamerica (1994),Adventure|Drama,7,31,113,4
54,"Big Green, The (1995)",Children|Comedy,12,42,333,34
55,Georgia (1995),Drama,7,32,163,12
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,5,23,25,12
57,Home for the Holidays (1995),Drama,10,33,203,32
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,12,14,324,32
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,6,38,47,6
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,9,40,160,16
61,Eye for an Eye (1996),Drama|Thriller,5,18,29,4
62,Mr. Holland's Opus (1995),Drama,6,49,13,13
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,5,15,95,19
64,Two if by Sea (1996),Comedy|Romance,9,12,14,2
65,Bio-Dome (1996),Comedy,10,14,222,39
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,10,34,232,21
67,Two Bits (1995),Drama,10,49,316,25
68,French Twist (Gazon maudit) (1995),Comedy|Romance,6,49,159,16
69,Friday (1995),Comedy,9,45,151,17
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,12,48,284,38
71,Fair Game (1995),Action,9,13,75,6
72,Kicking and Screaming (1995),Comedy|Drama,12,19,294,27
73,"Misérables, Les (1995)",Drama|War,6,28,198,1
74,Bed of Roses (1996),Drama|Romance,8,18,70,2
75,Big Bully (1996),Comedy|Drama,5,27,54,3
76,Screamers (1995),Action|Sci-Fi|Thriller,6,42,60,12
77,Nico Icon (1995),Documentary,9,17,147,18
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,7,27,34,7
79,"Juror, The (1996)",Drama|Thriller,9,35,153,6
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,6,17,106,18
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,11,50,200,15
82,Antonia's Line (Antonia) (1995),Comedy|Drama,10,35,361,24
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,7,25,65,0
84,Last Summer in the Hamptons (1995),Comedy|Drama,8,29,123,9
