movieId,title,genres,prom_visualizacion,%_view_movie,sum_likes,sum_dislikes,genre_vector,similarity
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,7,21,61,1,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.5163977794943222
2,Jumanji (1995),Adventure|Children|Fantasy,8,34,122,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.6666666666666667
3,Grumpier Old Men (1995),Comedy|Romance,10,13,252,24,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,8,12,187,18,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
5,Father of the Bride Part II (1995),Comedy,5,36,162,7,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
6,Heat (1995),Action|Crime|Thriller,9,14,196,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.33333333333333337
7,Sabrina (1995),Comedy|Romance,5,32,129,15,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
8,Tom and Huck (1995),Adventure|Children,7,27,160,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.8164965809277259
9,Sudden Death (1995),Action,8,34,69,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.5773502691896258
10,GoldenEye (1995),Action|Adventure|Thriller,11,31,276,28,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.6666666666666667
11,"American President, The (1995)",Comedy|Drama|Romance,11,33,332,35,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,8,32,156,14,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
13,Balto (1995),Adventure|Animation|Children,11,35,257,22,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.6666666666666667
14,Nixon (1995),Drama,6,35,165,6,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
15,Cutthroat Island (1995),Action|Adventure|Romance,10,30,299,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.6666666666666667
16,Casino (1995),Crime|Drama,11,39,307,25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
17,Sense and Sensibility (1995),Drama|Romance,6,21,98,9,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
18,Four Rooms (1995),Comedy,7,33,167,18,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
19,Ace Ventura: When Nature Calls (1995),Comedy,5,40,166,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,9,27,1,13,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.2581988897471611
21,Get Shorty (1995),Comedy|Crime|Thriller,11,28,284,34,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,5,12,25,5,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
23,Assassins (1995),Action|Crime|Thriller,10,10,218,22,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.33333333333333337
24,Powder (1995),Drama|Sci-Fi,5,46,78,17,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
25,Leaving Las Vegas (1995),Drama|Romance,6,49,45,19,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
26,Othello (1995),Drama,12,19,364,22,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
27,Now and Then (1995),Children|Drama,6,34,126,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
